City,City ID,Temperature,Humidity,Wind Speed,Cloudiness,Latitude
Kuito,3348078,39.26,75,3.4,0,-12.38
Broken Hill,2173911,54.38,74,10.78,12,-31.97
Tashtyp,1490036,52.58,100,2.95,92,52.8
Harrison,4513805,85.28,42,4.7,1,39.26
Whitehorse,6180550,78.8,27,13.87,75,60.72
Kawalu,1640902,59.06,90,2.17,0,-7.38
Yamethin,1285899,71.48,97,9.78,92,20.43
Harrismith,997751,28.91,69,2.17,0,-28.27
Karakol,1528121,49.61,58,2.73,88,42.49
Rundu,3353383,49.34,61,5.53,0,-17.91
Dhamtari,1272997,73.55,98,14.03,92,20.71
Mpika,905846,49.25,83,7.43,0,-11.84
